setting,cost_model,method,coverage_total,utility_per_item,answer_threshold,defer_threshold
fixed_k,strict,logreg_teacher,0.502,0.48719999999999997,0.9500000000000001,0.9
fixed_k,strict,logreg_teacher,0.502,0.49,0.9,0.9
fixed_k,strict,logreg_teacher,0.506,0.4924,0.9,0.8500000000000001
fixed_k,strict,logreg_teacher,0.509,0.4942,0.9,0.8
fixed_k,strict,logreg_teacher,0.511,0.49539999999999995,0.9,0.75
fixed_k,strict,logreg_teacher,0.512,0.496,0.9,0.7000000000000001
fixed_k,lenient,best,0.001,0.001,1.0,1.0
fixed_k,lenient,best,0.447,0.447,0.9501403982841022,0.9501403982841022
fixed_k,lenient,best,0.466,0.4622,0.9501403982841022,0.9002807965682045
fixed_k,lenient,best,0.466,0.466,0.9002807965682045,0.9002807965682045
fixed_k,lenient,best,0.485,0.48119999999999996,0.9002807965682045,0.8504211948523067
fixed_k,lenient,best,0.485,0.485,0.8504211948523067,0.8504211948523067
fixed_k,lenient,best,0.504,0.4915,0.7507019914205112,0.7507019914205112
fixed_k,lenient,best,0.51,0.4938,0.7507019914205112,0.7008423897046134
fixed_k,lenient,best,0.549,0.499,0.5014039828410225,0.5014039828410225
fixed_k,lenient,logreg_all,0.001,0.001,1.0,1.0
fixed_k,lenient,logreg_all,0.502,0.497,0.9500000000538423,0.9500000000538423
fixed_k,lenient,logreg_all,0.516,0.4982,0.9500000000538423,0.850000000161527
fixed_k,lenient,logreg_all,0.522,0.5005,0.9500000000538423,0.8000000002153693
fixed_k,lenient,logreg_self,0.001,0.001,1.0,1.0
fixed_k,lenient,logreg_self,0.005,0.0017000000000000003,0.9500084563078809,0.9000169126157618
fixed_k,lenient,logreg_self,0.005,0.0025,0.9000169126157618,0.9000169126157618
fixed_k,lenient,logreg_self,0.025,0.012700000000000001,1.0,0.8500253689236428
fixed_k,lenient,logreg_self,0.025,0.013499999999999998,0.9000169126157618,0.8500253689236428
fixed_k,lenient,logreg_self,0.025,0.0175,0.8500253689236428,0.8500253689236428
fixed_k,lenient,logreg_self,0.151,0.0783,0.8500253689236428,0.8000338252315237
fixed_k,lenient,logreg_self,0.151,0.1035,0.8000338252315237,0.8000338252315237
fixed_k,lenient,logreg_self,0.281,0.10980000000000001,0.8500253689236428,0.7500422815394046
fixed_k,lenient,logreg_self,0.281,0.1685,0.7500422815394046,0.7500422815394046
fixed_k,lenient,logreg_self,0.409,0.2034,0.7500422815394046,0.7000507378472856
fixed_k,lenient,logreg_self,0.409,0.234,0.7000507378472856,0.7000507378472856
fixed_k,lenient,logreg_self,0.611,0.241,0.5000845630788092,0.5000845630788092
fixed_k,lenient,logreg_teacher,0.014,0.014,1.0,1.0
fixed_k,lenient,logreg_teacher,0.495,0.49,0.9500000000000001,0.9500000000000001
fixed_k,lenient,logreg_teacher,0.502,0.49560000000000004,0.9500000000000001,0.9
fixed_k,lenient,logreg_teacher,0.502,0.497,0.9,0.9
fixed_k,lenient,logreg_teacher,0.506,0.5002,0.9,0.8500000000000001
fixed_k,lenient,logreg_teacher,0.509,0.5026,0.9,0.8
fixed_k,lenient,logreg_teacher,0.511,0.5028,0.9500000000000001,0.75
fixed_k,lenient,logreg_teacher,0.511,0.5042,0.9,0.75
fixed_k,lenient,logreg_teacher,0.512,0.505,0.9,0.7000000000000001
fixed_k,lenient,logreg_teacher,0.52,0.5064000000000001,0.9,0.55
fixed_k,lenient,logreg_teacher,0.522,0.508,0.9,0.5
fixed_k,lenient,logreg_teacher,0.532,0.5086,0.6000000000000001,0.45
fixed_k,lenient,logreg_teacher,0.532,0.5096,0.55,0.45
fixed_k,lenient,logreg_teacher,0.532,0.5124,0.8,0.45
fixed_k,lenient,logreg_teacher,0.532,0.516,0.9,0.45
fixed_k,lenient,logreg_teacher,0.539,0.5166000000000001,0.9,0.4
fixed_k,lenient,logreg_teacher,0.548,0.5174,0.9500000000000001,0.35000000000000003
fixed_k,lenient,logreg_teacher,0.548,0.5187999999999999,0.9,0.35000000000000003
